Include,Exclusion reason,DOI,,Unique ID,Authors,Year,Country / Region,Funding source,Publication type,Design,Unit of assignment,Follow-up duration,Risk-of-bias tool used,Overall RoB judgment,Setting type,Population description,Baseline value,Sample size,Intervention category,Intervention category (broad),[AA] Intervention category (standardized),[JB] Intervention category (standardized),Intervention description,Core components,Intensity / dose,Implementation fidelity reported?,Implementation Description,Comparator / control condition,Estimation Method,Outcome name,Outcome Reference ,Outcome domain,Outcome definition / metric,[AA] Outcome Category (Standardized),[JB] Outcome Category (Standardized),[AA] Outcome—Intent (Standardized),[JB] Outcome—Intent (Standardized),Time point(s),Unit,Effect size,Standard Error,CI lower,CI upper,P-value,Raw data extracted,Direction of effect,Sub-groups analyzed?,Effect heterogeneity,Co-interventions / policy environment,Implementation barriers / facilitators,Notes ,Notes,JB Notes,AA check,Intervention class v1 - broad,Intervention class v2,Intervention class v3,Exclude
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,rate ratio,Black People Shot ,Table 3,Firearm Injury,Proportion of all victims shot who are black,shootings,shootings,"unintentional, ""Self-inflicted (suicide, self-harm)"", unknown/other, mass shooting, ""Interpersonal (homicide, assault)""","unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", Legal intervention, unknown/other, mass shooting",Quarterly pre- vs post-containment,rate (rate ratio),1.02,,1,1.04,0.092,5684 (pre) vs. 2061 (post),,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,rate ratio,Latinx People Shot ,Table 4,Firearm Injury,Proportion of all victims shot who are latinx,shootings,shootings,"unintentional, ""Self-inflicted (suicide, self-harm)"", unknown/other, mass shooting, ""Interpersonal (homicide, assault)""","unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", Legal intervention, unknown/other, mass shooting",Quarterly pre- vs post-containment,rate (rate ratio),0.81,,0.71,0.93,0.003,848 (pre) vs. 246 (post),,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,rate ratio,White People Shot ,Table 5,Firearm Injury,Proportion of all victims shot who are white ,shootings,shootings,"unintentional, ""Self-inflicted (suicide, self-harm)"", unknown/other, mass shooting, ""Interpersonal (homicide, assault)""","unintentional, ""Self-inflicted (suicide, self-harm)"", ""Interpersonal (homicide, assault)"", Legal intervention, unknown/other, mass shooting",Quarterly pre- vs post-containment,rate (rate ratio),1.26,,1.03,1.52,0.021,313 (pre) vs. 140 (post),,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,rate ratio,Mass Shootings,Table 6,Mass shooting,Proportion of mass shootings,shootings,shootings,mass shooting,mass shooting,Quarterly pre- vs post-containment,rate (rate ratio),1.53,,1.25,1.88,<0.001,246 (pre) vs. 134 (post),,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,rate ratio,Fatal Shots ,Table 7,Firearm mortality,Proportion of all those shot fatally,firearm mortality,firearm mortality,"unintentional, ""Self-inflicted (suicide, self-harm)"", unknown/other, mass shooting, ""Interpersonal (homicide, assault)""","unintentional, ""Self-inflicted (suicide, self-harm)"", unknown/other, mass shooting, Legal intervention, ""Interpersonal (homicide, assault)""",Quarterly pre- vs post-containment,rate (rate ratio),0.85,,0.77,0.94,0.002,1393 (pre) vs. 424 (post),,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://pubmed.ncbi.nlm.nih.gov/37714415/,5,Agoubi2024 ,"Agoubi, L.L. et al. ",2024,USA- National,"NIH grant, State of Washington ",Journal Article ,Cross-sectional ecological analysis ,ZIP code,7 years (2015-2021),N/A,N/A,Mixed,"Included all ZIP codes with 500 residents or greater in the United States, did not include specific demographic info at the individual level. All urban zipcodes with ≥1 firearm incident (n=266,020 incidents). ",N/A,"273,812 overall firearm incidents in 15,802 unique ZIP codes",Legislation,legislation,Legislation—restrictive,Legislation—restrictive,"Giffords Law Center scores categorized into restrictive (A), moderate (B/C), and permissive (D/F) groups","Background checks, licensing, permit requirements (as grouped in scorecard) ",Yes - state firearm laws from 2015-2020,No,"Firearm law exposure measured annually by Giffords scores, not linked to actual enforcement",Comparison across ZIP codes in different Giffords law grades,Negative binomial GLMM (with ZIP and state-year clustering),Firearm-related incident rate - Grade A : Overall,Table 2 ,Firearm Injury,"Mean number of interpersonal + unintentional firearm events per 10,000 persons/year ",firearm events,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",2015-2021,,2.59,5.02,N/A,N/A,,Mean Firearm Incidence Rates for each year 2015-2020,↑ harmful,	Yes – by economic distress and economic connectedness,Stronger effect of laws in low-distress and high-EC ZIPs; weakest effects in most disadvantaged,N/A,"Not measured directly, authors note enforcement and legitimacy may influence law efficacy",,,unclear what the comparator is for this effect size. spell out DCI acronym,,Firearm policy (index/strength measure),Policy environment index / composite score,System: measurement/index (policy strength),
,,https://pubmed.ncbi.nlm.nih.gov/37714415/,5,Agoubi2024 ,"Agoubi, L.L. et al. ",2024,USA- National,"NIH grant, State of Washington ",Journal Article ,Cross-sectional ecological analysis ,ZIP code,7 years (2015-2021),N/A,N/A,Mixed,"Included all ZIP codes with 500 residents or greater in the United States, did not include specific demographic info at the individual level. All urban zipcodes with ≥1 firearm incident (n=266,020 incidents). ",N/A,"273,812 overall firearm incidents in 15,802 unique ZIP codes",Legislation,legislation,"Legislation—restrictive, Legislation—permissive","Legislation—restrictive, Legislation—permissive","Giffords Law Center scores categorized into restrictive (A), moderate (B/C), and permissive (D/F) groups","Background checks, licensing, permit requirements (as grouped in scorecard) ",Yes - state firearm laws from 2015-2020,No,"Firearm law exposure measured annually by Giffords scores, not linked to actual enforcement",grade A,"Negative binomial GLMM (with ZIP and state-year clustering), rate ratio",Firearm-related incident rate - Grade B/C : Overall,Table 3,Firearm Injury,"Mean number of interpersonal + unintentional firearm events per 10,000 persons/year-- rate ratio compared to Giffords grade A zip codes",firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",2015-2022,,1.07,N/A,1.02,1.14,,...,↑ harmful,...,...,,,,,,,Firearm policy (index/strength measure),Policy environment index / composite score,System: measurement/index (policy strength),
,,,,,,,,,,,,,,,,,,,,,Legislation—permissive,Legislation—permissive,,,,,,,Negative binomial GLMM (with ZIP and state-year clustering),Firearm-related incident rate - Grade D/F : Overall,...,Firearm Injury,...,firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",...,,1.2,N/A,1.12,1.28,,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Community Distress?,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,Negative binomial GLMM (with ZIP and state-year clustering),Firearm incident rate (DCI--distressed communities index--stratified) - low distress,...,Firearm Injury,...,firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",...,,1.5,3.18,N/A,N/A,p<.001,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Community Distress,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,Negative binomial GLMM (with ZIP and state-year clustering),Firearm incident rate (DCI stratified) - medium distress,...,Firearm Injury,...,firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",...,,1.67,N/A,1.6,1.73,p<.001,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,Negative binomial GLMM (with ZIP and state-year clustering),Firearm incident rate (DCI stratified) - high distress,...,Firearm Injury,...,firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",...,,3.18,N/A,3.06,3.3,p<.001,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,Negative binomial GLMM (with ZIP and state-year clustering),Firearm incident rate (EC stratified among low SES) upper 50% EC scores ,...,Firearm Injury,...,firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",...,,1.65,3.26,N/A,N/A,p<.001,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,Negative binomial GLMM (with ZIP and state-year clustering),Firearm incident rate (EC stratified among low SES) lower 50% EC scores ,...,Firearm Injury,...,firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",...,,2.04,N/A,1.97,2.11,p<.001,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,Negative binomial GLMM (with ZIP and state-year clustering),Firearm incident rate (EC stratified among high SES) upper 50% EC scores ,...,Firearm Injury,...,firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",...,,218,4.45,N/A,N/A,p<.001,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Environmental changes (e.g. covid effects),Environmental changes (e.g. covid effects),,,,,,,Negative binomial GLMM (with ZIP and state-year clustering),Firearm incident rate (EC stratified among high SES) lower 50% EC scores ,...,Firearm Injury,...,firearm morbidity,firearm events,"""Interpersonal (homicide, assault)"", unintentional","""Interpersonal (homicide, assault)"", unintentional",...,,1.85,N/A,1.79,1.92,p<.001,...,↑ harmful,...,...,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,https://pubmed.ncbi.nlm.nih.gov/29229119/,6,Alban2018,"Alban, R. F.",2018,United States - National,None,Jounal article,Multivariate logistic regression models,Hospital discharge records reported in NIS,14 year period: 1998-2011,N/A,N/A,Mixed,"N= 34,994 inpatient discharges were included for analysis and made up the study cohort. The majority of cases occurred in states with Brady grade F (58.2%), followed by grades C (14.9%), A (12.4%), D (11.5%), and B (3.1%).",Brady State Grade A - Strictest category,"34,994 firearm-related suicide attempts between 1998 and 2011. These discharges are further categorized into: A= 4326; B= 1085; C= 5208; D= 4013, F= 20361. ",Legislation,legislation,descriptive/no intervention,descriptive/no intervention,"To evaluate the role of gun laws at the state level and the risk of firearm-related suicides, hospitals were categorized into five groups (A, B, C, D, and F) according to the Brady Center criteria. ","Grade A is the stricted and Grade F is the weakest, with grades reflecting 30 firearm policy approaches to regulate guns and ammunition (such as background checks, safe storage, etc). ","Categorical exposure: Brade grades of A, B, C, D, and F",N/A,N/A,Brady Grade A states ,,Age 45–64 vs <14 years ,...,Firearm-related suicide attempt,"""suicide attempts secondary to firearms"" from hospital discharges",firearm morbidity,firearm morbidity,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,3.49,...,2.58,4.73,p <0.0001,N/A,↑ harmful,...,N/A,,,,,"- What are the Brady center criteria? It’s not clear what the intervention actually was
    - “Brady Grade A states” isn’t the comparator, the vs. is… Are we trying to say this is among Brady Grade A states?
    - What direction is the versus in? Being female is beneficial?
    - Why are hospitals categorized for a legislation intervention?
    - Unclear what the outcome actually is. Outcome name doesn’t reflect outcome.",,Firearm policy (index/strength measure),Policy environment index / composite score,System: measurement/index (policy strength),
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,,Age 24–44 vs <14 years,...,...,...,firearm morbidity,firearm morbidity,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,1.99,...,1.47,2.69,p <0.0001,N/A,↑ harmful,...,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,,Age 14–24 vs <14 years,...,...,...,firearm morbidity,firearm morbidity,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,1.59,...,1.17,2.16,p= 0.0033,N/A,↑ harmful,...,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,,Female vs Male,...,...,...,firearm morbidity,firearm morbidity,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,0.74,...,0.67,0.81,p <0.0001,N/A,↓ beneficial,...,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,,Other vs White,...,...,...,firearm morbidity,firearm morbidity,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,0.34,...,0.29,0.41,p <0.0001,N/A,↓ beneficial,...,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,,Hispanic vs White,...,...,...,firearm morbidity,firearm morbidity,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,0.25,...,0.21,0.29,p <0.0001,N/A,↓ beneficial,...,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,descriptive/no intervention,descriptive/no intervention,,,,,,,,Black vs White,...,...,...,firearm morbidity,firearm morbidity,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,0.09,...,0.08,0.1,p <0.0001,N/A,↓ beneficial,...,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Legislation—permissive,Legislation—permissive,,,,,,,,Brady State F vs State A,...,...,...,firearm morbidity,firearm morbidity,"""Self-inflicted (suicide, self-harm)""","""Self-inflicted (suicide, self-harm)""",...,,1.65,...,1.43,1.91,p <0.0001,N/A,↑ harmful,...,N/A,,,,,,,,,,
